Protein.proID	Cofactor.chebiID
PR_Q6P587	CHEBI_18420
PR_Q6P587	CHEBI_29035
PR_P00325	CHEBI_29105
PR_P78325	CHEBI_29105
PR_O95394	CHEBI_18420
PR_Q96PN6	CHEBI_18420
PR_Q96PN6	CHEBI_29035
PR_Q9UBZ4	CHEBI_18420
PR_Q9UBZ4	CHEBI_29035
PR_Q06278	CHEBI_49601
PR_Q06278	CHEBI_71302
PR_Q06278	CHEBI_57692
PR_Q01433	CHEBI_29105
PR_Q12797	CHEBI_24875
PR_Q9ULM6	CHEBI_18420
PR_P14324	CHEBI_18420
PR_Q9NZC3	CHEBI_18420
PR_Q96FL9	CHEBI_29035
PR_P51530	CHEBI_49883
PR_Q9Y227	CHEBI_29108
PR_Q9Y227	CHEBI_18420
PR_P31513	CHEBI_57692
PR_Q9Y2M0	CHEBI_18420
PR_Q9Y2M0	CHEBI_29035
PR_O95749	CHEBI_18420
PR_Q9BY41	CHEBI_60240
PR_P20839	CHEBI_29103
PR_Q6NTF7	CHEBI_29105
PR_P42684	CHEBI_18420
PR_P42684	CHEBI_29035
PR_P11310	CHEBI_57692
PR_P53396	CHEBI_18420
PR_O60266	CHEBI_18420
PR_O60266	CHEBI_29035
PR_P22748	CHEBI_29105
PR_P35218	CHEBI_29105
PR_P11511	CHEBI_30413
PR_P24903	CHEBI_30413
PR_P08684	CHEBI_30413
PR_Q9C0B1	CHEBI_29033
PR_Q8IXK2	CHEBI_29035
PR_Q6IS24	CHEBI_29035
PR_Q9UQ88	CHEBI_18420
PR_O14618	CHEBI_29105
PR_O14618	CHEBI_29036
PR_P21964	CHEBI_18420
